0.498 % prompt : the prompt for your fic .  % creative % http://amishamj.livejournal.com/824.html 
0.385 % hmmm ... nick s account would be a guilt ridden flashback .  % amused % http://neuralclone.livejournal.com/39939.html 
0.385 % for one fleeting microsecond , a flash of something below hood level .  % sleepy % http://nipper-dawg.livejournal.com/330265.html 
0.385 % again with the eerie coincidences ... a sign perhaps ?  % melancholy % http://mynameisjamie.livejournal.com/2487.html 
0.385 % you come across things which spark your imagination .  % happy % http://nessa-munky.livejournal.com/62939.html 
0.385 % then after a long pause he smiled and said cause sleep is too easy .  % thoughtful % http://amishwhit.livejournal.com/4833.html 
0.385 % which twitches uncomfortably as scrutiny goes blunt , and he closes his eyes for a second to let the pained expression pass .  % bitchy % http://amerie-nc.livejournal.com/28000.html 
0.384 % mixing with causes a violent chemical reaction , producing an opaque ochre potion which gives the user protection from prying eyes .  % crazy % http://ammonium.livejournal.com/52312.html 
0.384 % or a flashback .  % determined % http://mylittleredgirl.livejournal.com/89617.html 
0.384 % the reason your unconscious is consumed by this might stem from an innate fear of war and turmoil .  % awake % http://marlesquent.livejournal.com/3590.html 
0.384 % nickelback how you remind me system of a down chop suey rob dougan clubbed to death fear factory invisible wounds the suture mix kmfdm anarchy gravity kills goodbye neon genesis evangelion turn back time and now , i click post entry .  % calm % http://markster3000.livejournal.com/32301.html 
0.384 % i pause for dramatic effect .  % hyper % http://my-menagerie.livejournal.com/4252.html 
0.384 % example anticipation realistic planning for future discomfort example humor overt expression of ideas and feelings especially those that are unpleasant to focus on or too terrible to talk about that gives pleasure to others ; humor lets you call a spade a spade , while wit is actually a form of displacement example , example since all of these defense mechanisms can be used by adults to adapt to life , the question is : when is a defense mechanism considered really adaptive and when is it considered pathological ?  % confused % http://nessaquttie.livejournal.com/55818.html 
0.384 % like a deep depression or something .  % shocked % http://nirvagurl01.livejournal.com/30383.html 
0.384 % :d out of context it sounds mean .  % peaceful % http://nessarific.livejournal.com/6651.html 
0.384 % cause that would definitely kill me ... :(  % grateful % http://my-otherworld.livejournal.com/8529.html 
0.384 % the stress causes mood swings and occasional chocolate binges .  % blank % http://markitos05.livejournal.com/5229.html 
0.384 % this was one of those self induced coincidences that start one thinking .  % sad % http://nestashouse.livejournal.com/27905.html 
0.383 % which could interpret into a crazy failure in the end .  % stressed % http://maritatag.livejournal.com/8845.html 
0.383 % perpetual rebellion with absolutely no cause perpetual rebellion with absolutely no cause perpetual rebellion with absolutely no cause perpetual rebellion with absolutely no cause stop the song and remember what you used to be somebody that could fucking impress me hmm .  % loved % http://mymiyaviislove.livejournal.com/9063.html 
0.383 % one whiff of the moist air and my brain immediately slows down .  % content % http://mylovetobusby.livejournal.com/7478.html 
0.383 % smile like you mean shows again the new wave influences of the s and presents a kinda heavy melancholy song about looking back on past memories , the bad and the good ... and trying to smile ... like you mean it .  % blah % http://mymusicgems.livejournal.com/14633.html 
0.383 % without me there to watch over him and the family , i fear the worst may occur .  % anxious % http://markuspyronis.livejournal.com/45986.html 
0.383 % that is the quick version of a person morphing into a perfectionist ... which eventually leads to anxiety and frustration .  % anxious % http://marilynmonroe26.livejournal.com/16497.html 
0.383 % start sketch for other _ways prompt .  % worried % http://marika-kailaya.livejournal.com/410274.html 
0.383 % borderline personality disorder individual shows a generalized pattern of instability in interpersonal relationships , self image , and observable emotions , and significant impulsiveness .  % artistic % http://neugotik.livejournal.com/206901.html 
0.383 % this is because bananas contain tryptophan , a type of protein that the body converts into serotonin , known to make you relax , improve your mood and generally make you feel happier .  % excited % http://neugotik.livejournal.com/99873.html 
0.382 % the sudden removal of antidepressant from her system leads marissa to an easily irritable and angry state .  % drained % http://mynormajean.livejournal.com/24118.html 
0.382 % kill blues ... for chaud ... he took a deep breath and hit the call button on his pet to put a signal out to rock , wherever he was .  % melancholy % http://netto-virus.livejournal.com/1285.html 
0.382 % , even the anti climactic hail of gunfire that marked the end of my nephandus and as such the chronicle was interesting and engaging in all kinds of ways .  % artistic % http://markuspyronis.livejournal.com/50563.html 
0.382 % a system with some hysteresis may be non symmetric or symmetric but the general situation is that memory effect or delay or fractional control interference happens involving the recent past or the surrounding conditions of self interaction .  % artistic % http://netrunner3fc7.livejournal.com/1231.html 
0.382 % : tic tacs ... the orange ones snooze button or jump out of bed ?  % tired % http://nintendork.livejournal.com/94611.html 
0.382 % i need excitement or moderate stress or an excuse to get hysterical with laughter .  % bored % http://nirgendwoman.livejournal.com/20295.html 
0.382 % ellipses came back to the window sill with a weird mixture of curiosity and seething rage .  % awake % http://marioche69.livejournal.com/797020.html 
0.382 % artists can extract some meaning out of the whirlpool of chaotic thoughts churning in their heads , and smooth it out on paper ... there is some meaning ... this meaning escalates into a greater meaning .  % contemplative % http://ame-tordue88.livejournal.com/23843.html 
0.382 % linger longer than is necessary at the computer to prolong moment when school becomes inevitable .  % tired % http://marissa2147483434.livejournal.com/5018.html 
0.382 % you see , one of the medications i am on causes depression and irritability , the other one causes hormonal imbalances .  % jealous % http://nire-selwob.livejournal.com/4806.html 
0.382 % it was like going to simultaneous opening nights with all the accompanying fears and traumas .  % happy % http://nerdforlife.livejournal.com/7646.html 
0.382 % puns might even spark laughter in you tehy r funni .  % blah % http://marleygata.livejournal.com/3837.html 
0.382 % be spontaneous .  % depressed % http://americaluvsyou.livejournal.com/76297.html 
0.382 % it s supposed to lead into , in fact , a large spot of nonsense , provoked not by coincidence , but by them provoking other stuff .  % cheerful % http://marika-kailaya.livejournal.com/572142.html 
0.382 % perhaps peruse through my archives and start making memories though still not really seeing the diff between tags and memories .  % hopeful % http://amishpeepshow.livejournal.com/25780.html 
0.382 % and you pick a prompt .  % anxious % http://nerca-beyul.livejournal.com/150844.html 
0.382 % maybe memories or something .  % bored % http://ninjagyrl.livejournal.com/2389.html 
0.382 % an intense emotional attachment , as for a pet or treasured object .  % confused % http://amerindcherub.livejournal.com/643.html 
0.382 % fascinating if you re into narrative theory .  % dorky % http://ninjakitten.livejournal.com/224824.html 
0.382 % violence where heero could turn his anger into something hard and cold and turn it into an intense focus , wufei tended to let his own fury explode like a grenade , lashing out at anyone stupid enough to come within range .  % hungry % http://amiko2147483632.livejournal.com/320944.html 
0.382 % sometimes i wonder if a really heavy extended s m scene would cause enough muscle contraction to destroy the stone or push it out .  % drained % http://nipper-dawg.livejournal.com/307974.html 
0.381 % otherwise , the magnetism which attracts them may turn into mutual repulsion .  % complacent % http://nishtariv.livejournal.com/199465.html 
0.381 % which could happen .  % cheerful % http://neumania.livejournal.com/190671.html 
0.381 % even a little song can jumpstart a war between two coasts of a country , inspire a person , cause hatred , cause love , cause , open eyes , close eyes , allow people to runaway and allow others to stay in one place and face themselves .  % giddy % http://mariospeedwagon.livejournal.com/6358.html 
0.381 % right back to a similar juncture that brought me to acupuncture to begin with do i want to cope with the pain fatigue , depression or the potentially deadly side effects of drugs ?  % discontent % http://ami-dessin.livejournal.com/22046.html 
0.381 % help out the cause , comment with a random funny image or something ... do it !  % bored % http://mynameisjerry.livejournal.com/5362.html 
0.381 % cause there was some pics of him with short hair .  % chipper % http://marjastu.livejournal.com/5779.html 
0.381 % i make it possible for you to stop thinking of emotions that cause you stress .  % depressed % http://marish143.livejournal.com/21086.html 
0.381 % then a hint of desperation emits into the air .  % bored % http://nerdontheheard.livejournal.com/25655.html 
0.381 % i soothed my hormones with a strawberry shake , and the homicidal thoughts eventually faded .  % annoyed % http://amethystgoddess.livejournal.com/44615.html 
0.381 % it s this lock that activates the alarm .  % aggravated % http://ninotsjka-bloom.livejournal.com/4969.html 
0.381 % mixing with sharra ium causes a violent chemical reaction , producing a milky blue potion which gives the user protection from death .  % good % http://amizener.livejournal.com/45666.html 
0.380 % and if she can catch amerie s eye for a moment , she makes a face that includes fluttering lashes and a gesture of her hand as if coiling a strand of hair between fingers .  % accomplished % http://amerie-nc.livejournal.com/22235.html 
0.380 % so my childhood memories include falling asleep to these big sonic booms .  % exhausted % http://mariliel.livejournal.com/25047.html 
0.380 % this song brings back a memory .  % calm % http://mymusic4jc.livejournal.com/6500.html 
0.380 % they include : fantasy tendency to retreat into fantasy in order to resolve inner and outer conflicts example projection attributing one s own unacknowledged feelings to others ; includes severe prejudice , severe jealousy , hyper vigilance to external danger , and injustice collecting .  % confused % http://nessaquttie.livejournal.com/55818.html 
0.380 % genetic tinkering with retro viruses is also attributed as a cause for the deceased to get up and walk , for much the same reason as the afore mentioned comets and meteors .  % amused % http://my-morbid-mind.livejournal.com/1007.html 
0.380 % a defense mechanism becomes pathological when it is used persistently and leads to maladaptive behavior that will eventually threaten the physical and or mental health of the individual .  % confused % http://nessaquttie.livejournal.com/55818.html 
0.380 % there were just so many vivid moments that the rest sort of fades into the background .  % hopeful % http://amindadrift.livejournal.com/15792.html 
0.380 % he explained that it may cause me to feel disagreeable irritable , although it may cause a steroid high .  % aggravated % http://marimonster.livejournal.com/4276.html 
0.380 % this short but amusing speech was accompanied by drastic hand gestures , which greatly heightened the amusement of it .  % amused % http://amethystdreamer.livejournal.com/1076.html 
0.380 % however , i keep getting this sense of impending dread , with random bouts of amazing anguish .  % scared % http://marinfur.livejournal.com/2575.html 
0.380 % weird things spark thoughts in my head .  % thoughtful % http://amiaravenne.livejournal.com/6093.html 
0.380 % could be the result of utter boredom .  % numb % http://nippon-choco.livejournal.com/93691.html 
0.379 % i ll probably use the flashbacks in between larger act style breaks in the novel , especially if i only end up with flashback sections of k words .  % working % http://ninja-turbo.livejournal.com/331647.html 
0.379 % it was sort of a spur of the moment idea .  % stressed % http://ames2147481559.livejournal.com/9041.html 
0.379 % mixing with bluefire ium causes a violent chemical reaction , producing an opaque ochre potion which gives the user protection from prying eyes .  % good % http://amizener.livejournal.com/45666.html 
0.379 % then strikes one of my most fear inducing happenings .  % nervous % http://marishkajuko.livejournal.com/30759.html 
0.379 % not a damn spark to be found .  % blah % http://ammepyre.livejournal.com/314704.html 
0.379 % perhaps more later , of a spoilery nature , but there was wailing and shrieking and squeeeing and bouncing up and down , and lots of pausing and rewinding , and the occasional atlantis music vid on the big screen !  % content % http://mylittleredgirl.livejournal.com/98267.html 
0.379 % harry : jumps , startled hand automatically goes for his wand as he spins toward the noise , yanking it out and pointing it toward the threat pauses a moment and peers down the corridor , then blinks and flushes , quickly pointing his wand toward the floor voice just a bit shaky oh .  % nervous % http://marked-seeker.livejournal.com/13688.html 
0.379 % also , if you drain your seratonin it s what gets you rolling in the first place and is already in your brain ; the drug just releases it too much , dopamine another brain chemical can flow into the seratonin receptors and cause damage .  % pensive % http://ninjatechalumni.livejournal.com/9714.html 
0.379 % wake up before my alarm , usually , and then snuggle back under the covers .  % calm % http://myownwench.livejournal.com/211127.html 
0.379 % the monster dimik sometimes drops a rifle called long barrel which shows up as the locked door .  % relieved % http://markmccloud.livejournal.com/176043.html 
0.379 % another battle begins , and memories of the previous fights are stirred up in my mind .  % sad % http://mynameisjonasjp.livejournal.com/29186.html 
0.379 % mixing with causes a violent chemical reaction , producing a milky sky blue potion which gives the user protection from angry glares .  % good % http://amizener.livejournal.com/45666.html 
0.379 % cause it just happened seeya in the funny pages !  % aggravated % http://markyus-oneil.livejournal.com/19686.html 
0.379 % brings back memories .  % happy % http://nerdxcrewwill.livejournal.com/12851.html 
0.378 % : tic tacs snooze button or jump out of bed ?  % nerdy % http://nini37dur.livejournal.com/2126.html 
0.378 % cause it wun come out .  % excited % http://ninthapril.livejournal.com/60623.html 
0.378 % who knew kelsey grammar could pull off action sequences ?  % busy % http://mark-landon.livejournal.com/61003.html 
0.378 % caused by mid term stress ?  % nerdy % http://marishkajuko.livejournal.com/33771.html 
0.378 % aristotle was the first major thinker to base his thought and science entirely on the idea that everything that moves or changes is caused to move or change by some other thing incipit birth of cause effect aristotle deduces the cause from observing the effect : a backward teleology in any case .  % grateful % http://nishat21.livejournal.com/16606.html 
0.378 % hint hint trying to initiate conversation and flirtation here !  % weird % http://amethystgoddess.livejournal.com/98716.html 
0.378 % and i wanted to relax cause i had to take a couple of klonopins to calm my coffee induced panicky self down .  % calm % http://amesha-spentas.livejournal.com/146526.html 
0.378 % i blame sleep deprivation and it s memory affecting , ret con like power over my brain .  % contemplative % http://amishamj.livejournal.com/9930.html 
0.378 % pauses for similar reactions .  % curious % http://nessierose.livejournal.com/18050.html 
0.378 % we ran through : welcome to the new world the remnants of self destruction recto cranial inversion anti violence indicator aftermath brs tunguska then did a two song encore consisting of : outbreak sic slipknot .  % blah % http://amisphon.livejournal.com/3311.html 
0.378 % her step father kept slipping in and out of his depression , making him irritable , mean and extremely short tempered .  % confused % http://nessaquttie.livejournal.com/55818.html 
0.377 % when i m feeling vulnerable i tend to go into this super self protective mode that involves some intimidating body language and general vibing .  % accomplished % http://nirvyone.livejournal.com/88863.html 
0.377 % rarely jack off cause the orgasms suck .  % blah % http://amesha-spentas.livejournal.com/2131.html 
0.377 % if death were indefinitely put off , the human psyche would end up , well , like the gambler in the twilight zone episode .  % crazy % http://nervelush.livejournal.com/56838.html 
0.377 % i wish everything was written , documented and saved elsewhere then our memories memories which can be easily corrupted and with time slowly disintegrate into fragments of a whole .  % rejuvenated % http://markie-poo.livejournal.com/177178.html 
0.377 % my subconscious couldn rsquo ; t deal with those images , with those thoughts , once the protection induced along with the anxiety was removed .  % scared % http://am-ex-girl.livejournal.com/23561.html 
0.377 % fun times ensue .  % blah % http://mynamestyl3r.livejournal.com/62318.html 
0.377 % is your upcoming memory recall connected to this novel ?  % grateful % http://niquibri.livejournal.com/40650.html 
0.377 % he pulls straight a lock of her hair , smirking when it springs back into a curl , and then turns over to sleep .  % hopeful % http://mylittleredgirl.livejournal.com/130583.html 
0.377 % i get to go off prozac cause it s having a reverse effect .  % confused % http://nirvana-kid.livejournal.com/16675.html 
0.377 % whew , nothing like a quick , irrational bout of frustration and depression .  % calm % http://amindadrift.livejournal.com/1602.html 
0.377 % fears that mouse !  % cold % http://mylittleredgirl.livejournal.com/153414.html 
0.377 % as t rev glances over as well , her expression sobers immediately , dark eyes quick to light on the knot , then away .  % weird % http://amerie-nc.livejournal.com/19708.html 
0.377 % : punishment a : usually localized physical suffering associated with bodily disorder as a disease or an injury ; also : a basic bodily sensation induced by a noxious stimulus , received by naked nerve endings , characterized by physical discomfort as pricking , throbbing , or aching , and typically leading to evasive action b : acute mental or emotional distress or suffering dictionaries often seem so useless .  % melancholy % http://nirgendwoman.livejournal.com/43784.html 
0.377 % rhodamine br labeled were exchanged into the myosin v lever arm , where the can potentially exchange at any of six binding sites iq domains .  % impressed % http://nessyjrw.livejournal.com/1963.html 
0.377 % symptoms : scared of being abandoned , self mutilation , suicidal attempts , instability , intense relationships , overly quick to give intimate details , clinging behavior , anger can be in the form of sarcasm , bitterness , or verbal attacks , shame , guilt .  % sleepy % http://mymindkillsme.livejournal.com/12104.html 
0.377 % quite loudly and provoked the lead singer into paroxysms of rage and badly pronounced swearing .  % drunk % http://ammie-warrior.livejournal.com/14872.html 
0.377 % conversely if the self is fulfilled it guides the ego to simulate happiness , and the ego will also attribute a cause with this feeling of happiness .  % chipper % http://nishat21.livejournal.com/5648.html 
0.377 % ttyl song : smile like you mean it the killers mood : emoish  % dirty % http://americnidiott.livejournal.com/28323.html 
0.377 % perceived self efficacy to control thought processes is a key factor in regulating thought produced stress and depression .  % thankful % http://neugotik.livejournal.com/177312.html 
0.377 % your sense heighten even my cold seem to go away .  % enraged % http://markiemark425.livejournal.com/75759.html 
0.377 % : : taps fingers : : over to the to do list journal to sort things out .  % embarassed % http://ninjakitten.livejournal.com/323651.html 
0.376 % note : a semi automatic shotgun updated to automatic mode can take out an army in about seconds .  % artistic % http://markrandall.livejournal.com/12677.html 
0.376 % not constructs , immune to critical hits etc block the death effect th trance lasts for rounds duncans dex mod when the trance ends duncan is fatigued .  % bouncy % http://nessieintransit.livejournal.com/3078.html 
0.376 % replaced all the spark plugs and wires and the oxygen sensor .  % sore % http://nerdysk8erboy.livejournal.com/77706.html 
0.376 % your result for the attachment style test ... the free agent anxiety over abandonment and avoidance of intimacy you like to be independent , to play by your own rules .  % blah % http://myownwench.livejournal.com/330315.html 
0.376 % she just went to spark notes .  % complacent % http://marlesquent.livejournal.com/8875.html 
0.376 % i felt like updating and ... that journal just brings back so many memories .  % awake % http://netogrof.livejournal.com/96516.html 
0.376 % a faint scent an even more distant memory of laughing lips and shaking bodies a faint whiff an even more distant ghost of computer screens and curiosities a tell tell tale my train of thought wreck of you and me colliding  % dorky % http://markhamsaysno.livejournal.com/65612.html 
0.376 % antidepressants are not typically used alone as they may cause someone to switch into an episode of hypomania .  % blah % http://amethystgirl350.livejournal.com/158679.html 
0.375 % which sends my brain into spasms of loathing .  % annoyed % http://marika-kailaya.livejournal.com/612082.html 
0.375 % the movie might cause the death .  % sore % http://americanhalfwit.livejournal.com/21043.html 
0.375 % defined as a persistent , abnormal , and unwarranted fear of being oneself or lonliness to add insult to an already distressing condition , most eremophobia therapies take months or years and sometimes even require the patient to be exposed repeatedly to their fear .  % lonely % http://myndtoibawx.livejournal.com/12987.html 
0.375 % irrational thinking gets me nowhere , just creates unnecessary worry and stress that plummets me into a dark hole .  % moody % http://amiaravenne.livejournal.com/11097.html 
0.375 % i will not provoke aggression .  % cynical % http://netrunner3fc7.livejournal.com/14416.html 
0.375 % in fear of the pain it may cause .  % confused % http://amerindcherub.livejournal.com/643.html 
0.375 % foreshadowing ?  % exhausted % http://nintendork.livejournal.com/281075.html 
0.375 % you are warned that it contains dangerous apparatus such as a kettle which may contain boiling water , gas rings which can produce naked flames , an oven which may get hot , a sink which may contain water ndash ; remember that children may drown in two inches of water or less , and substances such as washing up liquid , dishwasher tablets , bleach and polish , which may cause serious internal injury or death if swallowed .  % cynical % http://nestashouse.livejournal.com/89486.html 
0.375 % bring it on , cause i could use some excitement .  % tired % http://nessthanjake.livejournal.com/48439.html 
0.375 % perceived coping self efficacy regulates avoidance behavior as well as anxiety arousal .  % thankful % http://neugotik.livejournal.com/177312.html 
0.374 % what else could possibly cause me to abandon normal sanity and use the <3 combination of symbols ?  % loved % http://nionecalima.livejournal.com/53345.html 
0.374 % the mention of the medication stabs into her relaxed bubble with the recurring threat of dependence and addiction and dulled senses , and her throat tightens as though to physically keep out the capsules .  % weird % http://mylittleredgirl.livejournal.com/84412.html 
0.374 % i m still doing prompts on the prompts post .  % sleepy % http://marika-kailaya.livejournal.com/612239.html 
0.374 % that sparked a fight between me and him .  % loved % http://amethystwings.livejournal.com/40051.html 
0.374 % by continuation i mean to express a variety of styles and chances people , places , concepts for which the pat will be connected to the life of another person , even if a very negative consequence is avoided , or even if a very negative consequence will happen to the pat or to a person .  % satisfied % http://netrunner3fc7.livejournal.com/1406.html 
0.374 % trait snapshot : paranoid tendencies , irritable , anxious , fidgety , dependent , worrying , emotionally sensitive , prone to regret , depressed , second guesses self , somewhat fragile , dislikes change , prefers organized to unpredictable , suspicious , phobic , craves attention , not a risk taker , low self control , very sensitive to criticism , unadventurous , does not make friends easily , defensive , obsessive , low self esteem  % contemplative % http://mylonelytears.livejournal.com/13188.html 
0.374 % i mean the thing was three pages long front and back on harmonic motion .  % relaxed % http://netethegreat.livejournal.com/18459.html 
0.374 % they felt the fibrillation and saw the would be assassin about feet away , with his suit coat pulled back , exposing a book sized shooter .  % nerdy % http://neurocat.livejournal.com/59028.html 
0.374 % thinking it over , i could have a lot of fun by creating an account for the purpose of editing pages , marking them for deletion due to lack of references .  % bored % http://netmystique.livejournal.com/39980.html 
0.374 % such a weird feeling , when certain moments in your life synchronizes with scenes in a movie that you just saw .  % scared % http://nishikaze630.livejournal.com/19961.html 
0.374 % not a hint of alarm , as he reached up and drew fuji ; s switchblade , the body of the scorpion still impaled on it and twitching .  % cheerful % http://neumegami33.livejournal.com/17149.html 
0.374 % and then bursts into a fit of laughter .  % weird % http://marissapullins.livejournal.com/67088.html 
0.374 % nostalgia can be a haunting thing .  % blah % http://markynapper.livejournal.com/60352.html 
0.374 % gravelly laughter lingers behind kaida for amerie s call , and then she s too far away to hear or contribute anything .  % uncomfortable % http://amerie-nc.livejournal.com/23662.html 
0.374 % mental conditions can find physical manifestation in the body , as a result of stress or psychosomatic projection .  % amused % http://amethystgirl350.livejournal.com/39232.html 
0.374 % she has learned that squirming doesn t help and any sort of elbowing below a threshold that would cause actual damage only makes him hold tighter .  % happy % http://mylittleredgirl.livejournal.com/81189.html 
0.374 % these analyses also emphasize such historical concepts as cause and effect , multiple causation and historical interpretation .  % contemplative % http://amerikankitten.livejournal.com/990.html 
0.374 % another layer is to define the transitions involved , like the cause from the past into the present , and the cause prediction from the now that creates less problems later and more solutions , in every possible way .  % predatory % http://netrunner3fc7.livejournal.com/11994.html 
0.374 % that something might consist of yawn deminishing activity .  % dorky % http://marishkajuko.livejournal.com/26941.html 
0.374 % erase my memories .  % sad % http://my-only-company.livejournal.com/3012.html 
0.374 % the third , on viral sentences and self replicating structures , is about memes and such , so this excerpt from a reader letter makes sense in context , but the metaphor shear of the last sentence mdash ; m is still shiver inducing : system s : begin : s : blah .  % cold % http://markpasc.livejournal.com/54880.html 
0.374 % induce vomitting if ingested .  % calm % http://amijuststoned.livejournal.com/3242.html 
0.373 % the sounds , the silence , the air itself , all seem to be conspiring to create an atmosphere of contemplation and secret smiles ... a day that begs for steaming mugs , long periods of sensual stimuli .  % sleepy % http://myown-artist.livejournal.com/39997.html 
0.373 % a memory lasts forever .  % cold % http://amerilis.livejournal.com/80075.html 
0.373 % if your companions suddenly begin to exhibit uncharacteristic behaviour such as hissing , fascination for blood , glowing eyes , increasing hairiness , and so on , get away from them as fast as possible .  % amused % http://ninionized.livejournal.com/328329.html 
0.373 % cause y see , when you first meet richard he s suffering severe bites poison , most likely from one of the chimera monsters .  % content % http://ametenchi.livejournal.com/122646.html 
0.373 % use the power of the dandy to create an ambiguous , alluring presence that stirs repressed desires .  % drained % http://ninja-nay.livejournal.com/13795.html 
0.373 % your result for the attachment style test ... the cuddleslut anxiety over abandonment and avoidance of intimacy you re mostly secure , but sometimes you need a little extra reassurance to make it through the tough times .  % amused % http://nipper-dawg.livejournal.com/452841.html 
0.373 % be kind , rewind .  % anxious % http://myownmishpachah.livejournal.com/28772.html 
0.373 % i could write a book just stream of consciousness memories .  % nostalgic % http://neugotik.livejournal.com/252061.html 
0.373 % romantic or spontaneous : both .  % cheerful % http://nesignev.livejournal.com/10954.html 
0.373 % and some sucker decides to shoot his mouth off like a machine gun .  % loved % http://ninthapril.livejournal.com/53138.html 
0.373 % your hair should be orange expressive , deep , and one of a kind .  % bored % http://mynx1024.livejournal.com/9267.html 
0.373 % rise up , energized lightning stirs your innerds ... life !  % accomplished % http://my-own-lunchbox.livejournal.com/5234.html 
0.373 % the mental effects were caused in part by the chemical reaction in the brain , and in part by the sheer knowledge that you re sacrificing years of your life just to get rid of a demonic possession , and the depression aided in weakening the body .  % working % http://marika-kailaya.livejournal.com/621781.html 
0.373 % perceived social inefficacy increases older person s vulnerability to stress and depression both directly and indirectly by impeding development of social supports which serve as a buffer against life stressors .  % thankful % http://neugotik.livejournal.com/177312.html 
0.373 % there s also a wonderful metaphor the narrator uses to describe the wilful blindness of his sceptical companion : is there any language which will set forth the play of a breaker among the rocks ?  % chipper % http://nestashouse.livejournal.com/4704.html 
0.373 % jessica callahan , your irrational emotions are being aroused by someone very close to you or , perhaps , by the resurfacing of memories that make you nostalgic for the way things were .  % blah % http://my-lostsoul.livejournal.com/31473.html 
0.372 % i did , however , manage to rub my two brain cells together and generate enough of a spark to get something done .  % awake % http://ninjasmitty.livejournal.com/2592.html 
0.372 % he is the rock that withstands my sea of roiling emotions and eventually calms me .  % loved % http://marko-the-rat.livejournal.com/132270.html 
0.372 % p caterpillars one after another i laid on my tongue , their char crisp bristle taste a sweet momentary salve to a body aching for protein .  % contemplative % http://mymagicpiano.livejournal.com/83150.html 
0.372 % davenavarrofrp : lights a cigarette , inhalin deeply bro ... that sounds like an episode of rebel appliance without a cause ... shakes head maybe it just needs some attention ... holds my breath , knowin i m gonna lose it markmcgrathfrp : sputters attention ?  % mischievous % http://markmcgrathfrp.livejournal.com/28317.html 
0.372 % acute pancreatitis occurs suddenly and lasts for a short period of time .  % lethargic % http://markie-mark.livejournal.com/3037.html 
0.372 % i mean really , scars on a hand are less painful then memories to me .  % calm % http://nesquikthebunny.livejournal.com/4632.html 
0.372 % who knew that withdrawal from fentanyl could cause chest pain , and eventually maybe a heart attack ?  % confused % http://ammobabe.livejournal.com/8780.html 
0.372 % your worst characteristic : i tend to be self loathing .  % lonely % http://nerfalot.livejournal.com/6774.html 
0.372 % xd the fear in the previous scene makes the connection to the fear during the following day .  % tired % http://nin-tendo.livejournal.com/5738.html 
0.372 % a way to recall fond memories of us , and to keep future moments so that they also become cherished recollections .  % crappy % http://ame-tordue88.livejournal.com/36666.html 
0.372 % it was a daisy wheel and the lag that often accompanied typing was mind numbing .  % geeky % http://ninjamonkey73.livejournal.com/29963.html 
0.372 % it s probably cause of the stress .  % devious % http://nirvanagroupie.livejournal.com/30346.html 
0.372 % indeed , card often suggests wheel like actions changes in direction , repeating cycles and rapid movement .  % listless % http://mariposabonita3.livejournal.com/11884.html 
0.372 % or would the activation of another slayer be caused by the death of faith ?  % cold % http://ninionized.livejournal.com/248256.html 
0.372 % when you re occupied these things hardly have a chance to seep in and ransack your brain causing the paranoia and the anxieties .  % bitchy % http://markthehorizon.livejournal.com/35279.html 
0.372 % looked up current musemuggers prompts .  % blah % http://ammepyre.livejournal.com/314704.html 
0.372 % schizophrenic : why twitch would you twitch say that ?  % bored % http://am-i-lucky-enuf.livejournal.com/2963.html 
0.372 % trait snapshot : paranoid tendencies , irritable , anxious , fidgety , dependent , worrying , emotionally sensitive , prone to regret , depressed , second guesses self , somewhat fragile , dislikes change , prefers organized to unpredictable , suspicious , phobic , craves attention , not a risk taker , low self control , very sensitive to criticism , unadventurous , does not make friends easily , defensive , obsessive , low self esteem lol , well , i could ve told you that !  % relaxed % http://marley27.livejournal.com/17947.html 
0.372 % fonts of memory , both recent and distant , tease my thirsty sensibility ; echoes of voices carried to my mind s ears , tantalisingly broken , waiting to be strung into sense .  % ecstatic % http://marine-algae.livejournal.com/63268.html 
0.371 % cause then that would give me an excuse to slack off .  % worried % http://my-livi-world.livejournal.com/1420.html 
0.371 % something horrible would happen to be followed soonafter by something uplifting .  % melancholy % http://netwinter.livejournal.com/90887.html 
0.371 % add to this cruelly delicate organism the overpowering necessity to create , create , create so that without the creating of music or poetry or books or buildings or something of meaning , his very breath is cut off from him .  % okay % http://ametrine0012.livejournal.com/21997.html 
0.371 % it feels great to be spontaneous n irrational !  % pleased % http://nervyspaz2.livejournal.com/24664.html 
0.371 % this may be causing the cough , but also is adding stress to my chords .  % sad % http://nini-golightly.livejournal.com/74802.html 
0.371 % no cognitive thought occurs after that class .  % chipper % http://amerpicon.livejournal.com/1460.html 
0.371 % not directly related to the conversation , the timing just happened to coincide like that .  % rushed % http://mynock25.livejournal.com/325470.html 
0.371 % its a strangely intriguing movie and it really initiates thought .  % crazy % http://amiserious.livejournal.com/2844.html 
0.371 % it brought back memories .  % contemplative % http://ningrrl420.livejournal.com/123061.html 
0.371 % now self destruction ... such thinking leads down an opposing dangerous slope of such grand self denial that one enters existential angst .  % amused % http://ninquark.livejournal.com/129105.html 
0.371 % tinker with another policy doc or two , send some reminder notices for domain apps , that sort of thing .  % exhausted % http://netgecko.livejournal.com/99013.html 
0.371 % sometimes that adds to the anxiety .  % calm % http://nessturn22.livejournal.com/4984.html 
0.371 % march the practice of mindfulness unveils and reveals your essential good heart , because it dissolves and removes the unkindness or the harm in you .  % awake % http://amesha-spentas.livejournal.com/167239.html 
0.371 % the wrong sort of regret can lead to a debilitating state of constant melancholy ; brooding over the past while the present passes you by .  % contemplative % http://amindadrift.livejournal.com/49696.html 
